iter	Passed	Remaining
449	1067	1304
450	1068	1300
451	1072	1299
452	1073	1296
453	1074	1292
454	1080	1294
455	1082	1290
456	1083	1286
457	1084	1282
458	1085	1279
459	1087	1276
460	1088	1272
461	1090	1269
462	1092	1266
463	1093	1263
464	1094	1259
465	1095	1255
466	1096	1251
467	1099	1249
468	1100	1246
469	1102	1243
470	1103	1239
471	1105	1236
472	1106	1232
473	1107	1228
474	1108	1225
475	1109	1221
476	1110	1217
477	1111	1214
478	1114	1211
479	1115	1208
480	1116	1204
481	1117	1200
482	1118	1197
483	1119	1193
484	1120	1190
485	1121	1186
486	1122	1182
487	1123	1178
488	1124	1175
489	1125	1171
490	1127	1168
491	1128	1165
492	1129	1162
493	1131	1158
494	1132	1154
495	1132	1151
496	1133	1147
497	1134	1143
498	1135	1140
499	1137	1137
500	1137	1133
501	1138	1129
502	1139	1126
503	1142	1124
504	1143	1120
505	1144	1117
506	1146	1114
507	1147	1111
508	1148	1108
509	1149	1104
510	1150	1101
511	1151	1097
512	1152	1094
513	1153	1091
514	1155	1088
515	1157	1085
516	1158	1082
517	1159	1079
518	1160	1075
519	1161	1072
520	1162	1069
521	1164	1066
522	1165	1062
523	1166	1059
524	1167	1056
525	1169	1053
526	1170	1050
527	1171	1047
528	1172	1044
529	1174	1041
530	1175	1037
531	1176	1034
532	1177	1031
533	1178	1028
534	1179	1025
535	1180	1021
536	1181	1018
537	1182	1015
538	1183	1012
539	1185	1010
540	1186	1007
541	1188	1003
542	1189	1000
543	1190	997
544	1191	994
545	1192	991
546	1193	988
547	1194	985
548	1195	981
549	1196	978
550	1197	976
551	1199	973
552	1200	970
553	1202	967
554	1203	964
555	1204	961
556	1205	958
557	1206	955
558	1207	952
559	1208	949
560	1209	946
561	1210	943
562	1211	940
563	1212	937
564	1214	934
565	1215	932
566	1216	929
567	1217	926
568	1218	923
569	1219	920
570	1220	917
571	1222	914
572	1223	911
573	1224	908
574	1225	905
575	1226	902
576	1227	899
577	1229	897
578	1231	895
579	1232	892
580	1233	889
581	1235	887
582	1236	884
583	1237	881
584	1238	878
585	1239	875
586	1240	872
587	1241	869
588	1242	867
589	1244	864
590	1245	862
591	1246	859
592	1247	856
593	1248	853
594	1250	850
595	1251	848
596	1252	845
597	1253	842
598	1254	839
599	1255	836
600	1256	834
601	1257	831
602	1260	829
603	1261	827
604	1262	824
605	1263	821
606	1264	818
607	1265	816
608	1266	813
609	1268	810
610	1269	808
611	1270	805
612	1271	802
613	1272	799
614	1274	797
615	1275	795
616	1276	792
617	1277	789
618	1278	787
619	1279	784
620	1280	781
621	1282	779
622	1283	776
623	1283	773
624	1285	771
625	1286	768
626	1287	765
627	1289	763
628	1290	761
629	1292	758
630	1293	756
631	1294	753
632	1295	751
633	1296	748
634	1297	745
635	1298	743
636	1299	740
637	1300	737
638	1301	735
639	1302	732
640	1305	730
641	1306	728
642	1307	725
643	1308	723
644	1309	720
645	1310	718
